pillar,segment,kind,n,level,ci_lo,ci_hi,slope_FE,slope_z,cp_knot,cp_improve,state
freehms,Secular HiEdu Urban,binary,10511,0.899,0.886,0.911,-0.2,-0.1,1990,0.001,弱/不明瞭
freehms,Religious LowEdu,binary,49992,0.661,0.653,0.669,-0.13,-0.14,1960,0.005,弱/不明瞭
freehms,Immigrant-bg,binary,37145,0.752,0.743,0.761,2.33,2.65,1985,0.001,移行中(線形)
freehms,Native HiEdu Urban,binary,17441,0.832,0.82,0.843,-11.32,-2.31,1990,0.003,弱/不明瞭
euftf,Secular HiEdu Urban,continuous,10086,6.14,,,-1.02,-4.88,1940,0.001,弱/不明瞭
euftf,Religious LowEdu,continuous,46683,5.185,,,0.1,0.97,1985,0.002,弱/不明瞭
euftf,Immigrant-bg,continuous,34485,5.586,,,0.63,4.79,1950,0.0,移行中(線形)
euftf,Native HiEdu Urban,continuous,17045,5.962,,,0.19,4.95,1940,0.001,移行中(線形)
immigration,Secular HiEdu Urban,continuous,10546,6.717,,,-0.07,-0.34,1980,0.001,弱/不明瞭
immigration,Religious LowEdu,continuous,51337,5.108,,,1.33,5.65,1990,0.001,移行中(線形)
immigration,Immigrant-bg,continuous,37933,6.175,,,-1.13,-5.45,1990,0.002,弱/不明瞭
immigration,Native HiEdu Urban,continuous,17592,6.202,,,-0.14,-0.65,1950,0.001,弱/不明瞭
